id,age,Sex,Occupation,Field,Working Hours,Package,Job Type,Company Type,Marital Status,Location,Cerifications,Education_level,Bonus,Allowances,OverTime Pay,Salary Per Month
4666,66,Female,Intermediate,Finance,9 Hr,7 LPA,Remote,Government Organization,Divorced,City,CFA (Chartered Financial Analyst),Bachelor's Degree,No Bonus,Internet Allowance,No Overtime,71000 Rs
4667,43,Male,Working professional,Digital marketing,8 Hr,7 LPA,Remote,Outsourcing / Service-based Company,Single,Rural,Lean Six Sigma,High School,"₹20,000 - ₹50,000",Internet Allowance,₹100/hour,59000 Rs
4668,20,Female,Experienced,CA,7 Hr,28 LPA,Full-Time,Freelancing / Self-employed,Single,Rural,Google Cloud Professional Engineer,Professional Certification,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,91000 Rs
4669,68,Male,Intermediate,Finance,2 Hr,11 LPA,Remote,Startup (early-stage),Divorced,Rural,CompTIA Security+,PhD,"₹20,000 - ₹50,000",None,Compensatory Off (No extra pay),81000 Rs
4670,19,Male,Working professional,CA,4 Hr,19 LPA,Remote,Small Business / Local Firm,Single,Rural,Cisco CCNA,Diploma,"₹20,000 - ₹50,000",Medical Allowance,No Overtime,65000 Rs
4671,36,Female,Intermediate,Finance,9 Hr,22 LPA,Hybrid,Freelancing / Self-employed,Single,Metro,CompTIA Security+,High School,"₹5,000 - ₹20,000",Company Car,₹300/hour,133000 Rs
4672,62,Female,Fresher,Digital marketing,10 Hr,17 LPA,Remote,Product-based Company,Single,City,CompTIA Security+,Diploma,No Bonus,Internet Allowance,Compensatory Off (No extra pay),115000 Rs
4673,29,Female,Working professional,Digital marketing,5 Hr,12 LPA,Full-Time,Scale-up (growing startup),Single,Rural,Lean Six Sigma,Bachelor's Degree,"₹20,000 - ₹50,000",Housing Allowance,₹100/hour,115000 Rs
4674,29,Female,Fresher,IT,8 Hr,6 LPA,Remote,Scale-up (growing startup),Single,Metro,Lean Six Sigma,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,₹300/hour,35000 Rs
4675,28,Male,Fresher,Finance,6 Hr,23 LPA,Hybrid,Large Enterprise,Married,City,Certified Data Scientist,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,₹100/hour,27000 Rs
4676,70,Female,Intermediate,Digital marketing,2 Hr,27 LPA,Hybrid,Contract / Temporary Employment,Single,Rural,PMP (Project Management Professional),PhD,"₹5,000 - ₹20,000",Housing Allowance,Compensatory Off (No extra pay),143000 Rs
4677,18,Male,Fresher,CA,2 Hr,26 LPA,Hybrid,Contract / Temporary Employment,Single,Metro,CFA (Chartered Financial Analyst),Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,₹200/hour,123000 Rs
4678,50,Female,Intermediate,IT,1 Hr,6 LPA,Full-Time,Consultancy Firm,Divorced,Metro,CompTIA Security+,Master's Degree,No Bonus,Travel Allowance,₹100/hour,29000 Rs
4679,44,Female,Intermediate,Digital marketing,9 Hr,29 LPA,Hybrid,Contract / Temporary Employment,Married,Rural,Cisco CCNA,PhD,No Bonus,Food Allowance,₹200/hour,39000 Rs
4680,31,Male,Experienced,IT,10 Hr,9 LPA,Hybrid,Government Organization,Married,City,PMP (Project Management Professional),PhD,"₹5,000 - ₹20,000",Company Car,₹100/hour,95000 Rs
4681,30,Male,Fresher,Digital marketing,3 Hr,9 LPA,Remote,Government Organization,Married,City,Oracle Certified Java Programmer,PhD,"₹20,000 - ₹50,000",Internet Allowance,Fixed Monthly Overtime Bonus,63000 Rs
4682,55,Female,Intermediate,Digital marketing,7 Hr,30 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,City,PMP (Project Management Professional),Master's Degree,"₹5,000 - ₹20,000",Food Allowance,₹300/hour,105000 Rs
4683,40,Female,Fresher,Finance,7 Hr,21 LPA,Remote,Non-Profit / NGO,Divorced,City,Microsoft Azure Fundamentals,Diploma,"₹5,000 - ₹20,000",Housing Allowance,No Overtime,149000 Rs
4684,56,Male,Working professional,Digital marketing,6 Hr,12 LPA,Full-Time,Startup (early-stage),Married,City,Oracle Certified Java Programmer,Master's Degree,"₹5,000 - ₹20,000",Food Allowance,₹300/hour,141000 Rs
4685,46,Male,Experienced,CA,1 Hr,28 LPA,Remote,Scale-up (growing startup),Divorced,City,Microsoft Azure Fundamentals,Bachelor's Degree,"₹20,000 - ₹50,000",Company Car,₹100/hour,45000 Rs
4686,38,Male,Fresher,IT,10 Hr,10 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,City,PMP (Project Management Professional),PhD,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,113000 Rs
4687,46,Female,Working professional,IT,2 Hr,21 LPA,Remote,Large Enterprise,Married,Rural,Microsoft Azure Fundamentals,PhD,No Bonus,Travel Allowance,₹200/hour,43000 Rs
4688,41,Female,Fresher,IT,4 Hr,29 LPA,Remote,Non-Profit / NGO,Married,Metro,Microsoft Azure Fundamentals,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,93000 Rs
4689,65,Male,Working professional,IT,10 Hr,27 LPA,Full-Time,Big MNC (Multinational Corporation),Single,City,PMP (Project Management Professional),Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,Compensatory Off (No extra pay),121000 Rs
4690,20,Male,Fresher,CA,5 Hr,30 LPA,Remote,Government Organization,Divorced,City,CFA (Chartered Financial Analyst),Diploma,"₹20,000 - ₹50,000",Company Car,Compensatory Off (No extra pay),45000 Rs
4691,38,Female,Working professional,Digital marketing,8 Hr,10 LPA,Full-Time,Non-Profit / NGO,Divorced,Rural,Lean Six Sigma,Professional Certification,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,73000 Rs
4692,62,Male,Intermediate,Digital marketing,2 Hr,23 LPA,Full-Time,Government Organization,Single,Rural,Cisco CCNA,High School,"₹5,000 - ₹20,000",Medical Allowance,No Overtime,31000 Rs
4693,42,Male,Working professional,IT,1 Hr,20 LPA,Hybrid,Product-based Company,Divorced,Metro,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,47000 Rs
4694,64,Male,Fresher,Finance,7 Hr,9 LPA,Remote,Small Business / Local Firm,Married,Metro,Oracle Certified Java Programmer,Professional Certification,No Bonus,Housing Allowance,Fixed Monthly Overtime Bonus,103000 Rs
4695,30,Male,Experienced,Finance,1 Hr,13 LPA,Hybrid,Small Business / Local Firm,Single,Rural,Microsoft Azure Fundamentals,High School,"₹5,000 - ₹20,000",Company Car,₹100/hour,89000 Rs
4696,49,Female,Working professional,CA,3 Hr,15 LPA,Full-Time,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,City,AWS Certified Solutions Architect,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,115000 Rs
4697,65,Female,Intermediate,Finance,4 Hr,13 LPA,Hybrid,Government Organization,Divorced,Metro,Certified Data Scientist,Professional Certification,"₹5,000 - ₹20,000",Internet Allowance,Fixed Monthly Overtime Bonus,141000 Rs
4698,62,Male,Working professional,IT,7 Hr,30 LPA,Remote,Big MNC (Multinational Corporation),Divorced,Rural,Cisco CCNA,High School,"₹5,000 - ₹20,000",Company Car,No Overtime,31000 Rs
4699,63,Female,Working professional,Finance,7 Hr,20 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Metro,Certified Data Scientist,PhD,"₹5,000 - ₹20,000",Medical Allowance,Compensatory Off (No extra pay),147000 Rs
4700,58,Female,Working professional,Digital marketing,10 Hr,6 LPA,Full-Time,Startup (early-stage),Married,Rural,Certified Data Scientist,Master's Degree,No Bonus,Housing Allowance,₹100/hour,51000 Rs
4701,66,Male,Intermediate,IT,2 Hr,24 LPA,Full-Time,Contract / Temporary Employment,Married,City,AWS Certified Solutions Architect,Diploma,"₹5,000 - ₹20,000",Travel Allowance,₹100/hour,95000 Rs
4702,48,Female,Intermediate,Finance,3 Hr,28 LPA,Remote,Outsourcing / Service-based Company,Divorced,Metro,Google Cloud Professional Engineer,Bachelor's Degree,No Bonus,Food Allowance,No Overtime,103000 Rs
4703,67,Female,Working professional,CA,2 Hr,27 LPA,Hybrid,Mid-sized Company,Single,Metro,Certified Data Scientist,High School,"₹20,000 - ₹50,000",Company Car,₹300/hour,49000 Rs
4704,35,Female,Experienced,IT,1 Hr,26 LPA,Remote,Contract / Temporary Employment,Single,Rural,Oracle Certified Java Programmer,Diploma,"₹20,000 - ₹50,000",Company Car,No Overtime,59000 Rs
4705,31,Male,Intermediate,IT,6 Hr,9 LPA,Hybrid,Contract / Temporary Employment,Single,Metro,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Internet Allowance,Compensatory Off (No extra pay),137000 Rs
4706,30,Male,Experienced,Digital marketing,7 Hr,29 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,Rural,Oracle Certified Java Programmer,Professional Certification,No Bonus,Multiple Allowances,₹200/hour,135000 Rs
4707,63,Male,Fresher,IT,9 Hr,17 LPA,Full-Time,Freelancing / Self-employed,Single,Rural,Microsoft Azure Fundamentals,High School,"₹20,000 - ₹50,000",Medical Allowance,₹200/hour,131000 Rs
4708,40,Male,Experienced,CA,2 Hr,29 LPA,Remote,Product-based Company,Divorced,Rural,Lean Six Sigma,High School,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,87000 Rs
4709,64,Female,Working professional,Digital marketing,6 Hr,21 LPA,Hybrid,Big MNC (Multinational Corporation),Single,City,AWS Certified Solutions Architect,Diploma,"₹20,000 - ₹50,000",Housing Allowance,No Overtime,103000 Rs
4710,28,Female,Experienced,CA,10 Hr,21 LPA,Full-Time,Big MNC (Multinational Corporation),Single,Rural,CFA (Chartered Financial Analyst),Diploma,"₹5,000 - ₹20,000",Multiple Allowances,Compensatory Off (No extra pay),51000 Rs
4711,23,Female,Intermediate,Finance,8 Hr,26 LPA,Remote,Startup (early-stage),Married,Rural,Cisco CCNA,High School,"₹5,000 - ₹20,000",Food Allowance,₹100/hour,71000 Rs
4712,32,Male,Experienced,Finance,8 Hr,28 LPA,Hybrid,Consultancy Firm,Divorced,Metro,Lean Six Sigma,Master's Degree,"₹5,000 - ₹20,000",Multiple Allowances,Compensatory Off (No extra pay),105000 Rs
4713,45,Male,Intermediate,Digital marketing,4 Hr,22 LPA,Hybrid,Freelancing / Self-employed,Single,City,CompTIA Security+,PhD,No Bonus,None,No Overtime,147000 Rs
4714,36,Female,Fresher,IT,2 Hr,19 LPA,Hybrid,Consultancy Firm,Single,Metro,PMP (Project Management Professional),Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,No Overtime,39000 Rs
4715,40,Female,Fresher,IT,6 Hr,11 LPA,Hybrid,Large Enterprise,Divorced,Rural,Certified Data Scientist,Master's Degree,No Bonus,Medical Allowance,₹200/hour,117000 Rs
4716,48,Female,Experienced,Digital marketing,6 Hr,9 LPA,Hybrid,Startup (early-stage),Single,Rural,Certified Data Scientist,Master's Degree,No Bonus,Medical Allowance,₹100/hour,93000 Rs
4717,70,Female,Working professional,IT,1 Hr,11 LPA,Hybrid,Big MNC (Multinational Corporation),Single,City,Google Cloud Professional Engineer,PhD,No Bonus,None,₹200/hour,83000 Rs
4718,36,Male,Working professional,Finance,10 Hr,20 LPA,Hybrid,Mid-sized Company,Married,Metro,Google Cloud Professional Engineer,Diploma,"₹5,000 - ₹20,000",Medical Allowance,No Overtime,105000 Rs
4719,34,Male,Experienced,Finance,3 Hr,29 LPA,Hybrid,Non-Profit / NGO,Single,Metro,CompTIA Security+,High School,"₹5,000 - ₹20,000",None,₹100/hour,143000 Rs
4720,67,Male,Intermediate,CA,7 Hr,8 LPA,Full-Time,Startup (early-stage),Divorced,City,Cisco CCNA,PhD,"₹5,000 - ₹20,000",Food Allowance,₹100/hour,97000 Rs
4721,57,Female,Intermediate,CA,6 Hr,21 LPA,Full-Time,Product-based Company,Single,City,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Travel Allowance,₹100/hour,83000 Rs
4722,68,Female,Intermediate,IT,7 Hr,7 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,City,Lean Six Sigma,Diploma,"₹5,000 - ₹20,000",Food Allowance,₹200/hour,69000 Rs
4723,65,Female,Experienced,Finance,1 Hr,11 LPA,Remote,Non-Profit / NGO,Married,City,PMP (Project Management Professional),Professional Certification,No Bonus,Internet Allowance,₹100/hour,73000 Rs
4724,35,Female,Experienced,IT,4 Hr,26 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Metro,Microsoft Azure Fundamentals,Professional Certification,No Bonus,Medical Allowance,₹300/hour,81000 Rs
4725,50,Male,Working professional,Digital marketing,2 Hr,5 LPA,Hybrid,Outsourcing / Service-based Company,Single,Metro,Certified Data Scientist,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,₹300/hour,27000 Rs
4726,65,Female,Working professional,CA,1 Hr,15 LPA,Hybrid,Startup (early-stage),Married,City,Certified Data Scientist,High School,"₹20,000 - ₹50,000",Travel Allowance,Compensatory Off (No extra pay),107000 Rs
4727,38,Male,Working professional,Finance,2 Hr,6 LPA,Remote,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,City,AWS Certified Solutions Architect,Bachelor's Degree,"₹5,000 - ₹20,000",Travel Allowance,Fixed Monthly Overtime Bonus,41000 Rs
4728,50,Female,Intermediate,CA,6 Hr,28 LPA,Full-Time,Mid-sized Company,Divorced,City,Lean Six Sigma,PhD,No Bonus,Multiple Allowances,₹100/hour,127000 Rs
4729,28,Female,Working professional,IT,7 Hr,10 LPA,Remote,Freelancing / Self-employed,Married,Metro,Lean Six Sigma,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,₹100/hour,61000 Rs
4730,63,Female,Experienced,CA,6 Hr,16 LPA,Full-Time,Big MNC (Multinational Corporation),Married,City,TensorFlow Developer Certificate,PhD,"₹5,000 - ₹20,000",Multiple Allowances,Fixed Monthly Overtime Bonus,41000 Rs
4731,41,Female,Intermediate,Finance,9 Hr,23 LPA,Hybrid,Mid-sized Company,Married,Rural,CompTIA Security+,Professional Certification,"₹20,000 - ₹50,000",None,₹300/hour,69000 Rs
4732,58,Female,Working professional,Finance,6 Hr,28 LPA,Hybrid,Freelancing / Self-employed,Divorced,Rural,AWS Certified Solutions Architect,Master's Degree,"₹20,000 - ₹50,000",None,Compensatory Off (No extra pay),39000 Rs
4733,61,Female,Working professional,Digital marketing,4 Hr,21 LPA,Full-Time,Startup (early-stage),Single,City,TensorFlow Developer Certificate,Bachelor's Degree,No Bonus,Internet Allowance,No Overtime,69000 Rs
4734,28,Female,Experienced,Finance,3 Hr,22 LPA,Full-Time,Government Organization,Single,Rural,PMP (Project Management Professional),Professional Certification,"₹20,000 - ₹50,000",Housing Allowance,No Overtime,71000 Rs
4735,67,Female,Intermediate,IT,9 Hr,20 LPA,Full-Time,Scale-up (growing startup),Married,City,Google Cloud Professional Engineer,Professional Certification,No Bonus,None,₹200/hour,47000 Rs
4736,69,Female,Intermediate,Digital marketing,9 Hr,21 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,City,Cisco CCNA,PhD,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,123000 Rs
4737,52,Male,Experienced,IT,2 Hr,6 LPA,Full-Time,Consultancy Firm,Single,Rural,Oracle Certified Java Programmer,Master's Degree,"₹5,000 - ₹20,000",Multiple Allowances,₹300/hour,61000 Rs
4738,35,Female,Working professional,Finance,1 Hr,20 LPA,Hybrid,Large Enterprise,Divorced,Rural,Lean Six Sigma,Bachelor's Degree,No Bonus,Travel Allowance,No Overtime,119000 Rs
4739,62,Female,Intermediate,IT,3 Hr,24 LPA,Hybrid,Startup (early-stage),Married,City,AWS Certified Solutions Architect,High School,"₹20,000 - ₹50,000",Multiple Allowances,₹200/hour,37000 Rs
4740,48,Female,Intermediate,IT,10 Hr,29 LPA,Remote,Contract / Temporary Employment,Single,Rural,Lean Six Sigma,Bachelor's Degree,No Bonus,Multiple Allowances,Compensatory Off (No extra pay),57000 Rs
4741,48,Female,Working professional,Finance,1 Hr,26 LPA,Remote,Contract / Temporary Employment,Married,Rural,Certified Data Scientist,PhD,No Bonus,Multiple Allowances,₹200/hour,103000 Rs
4742,62,Male,Fresher,Finance,6 Hr,18 LPA,Full-Time,Small Business / Local Firm,Married,Metro,Google Cloud Professional Engineer,Master's Degree,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,137000 Rs
4743,34,Male,Working professional,IT,10 Hr,29 LPA,Full-Time,Freelancing / Self-employed,Divorced,Rural,CFA (Chartered Financial Analyst),Master's Degree,No Bonus,Medical Allowance,Compensatory Off (No extra pay),143000 Rs
4744,28,Male,Working professional,Digital marketing,6 Hr,7 LPA,Remote,Consultancy Firm,Married,Rural,Certified Data Scientist,Master's Degree,"₹5,000 - ₹20,000",Housing Allowance,Fixed Monthly Overtime Bonus,75000 Rs
4745,63,Male,Working professional,Finance,7 Hr,30 LPA,Hybrid,Large Enterprise,Single,Rural,Google Cloud Professional Engineer,PhD,No Bonus,Housing Allowance,₹100/hour,35000 Rs
4746,23,Female,Intermediate,CA,7 Hr,8 LPA,Remote,Startup (early-stage),Divorced,Metro,PMP (Project Management Professional),Master's Degree,No Bonus,Housing Allowance,Fixed Monthly Overtime Bonus,75000 Rs
4747,49,Female,Working professional,Finance,4 Hr,19 LPA,Hybrid,Government Organization,Single,Metro,Certified Data Scientist,PhD,No Bonus,Company Car,₹200/hour,97000 Rs
4748,70,Female,Working professional,Finance,7 Hr,5 LPA,Hybrid,Large Enterprise,Married,Metro,PMP (Project Management Professional),High School,No Bonus,Food Allowance,Fixed Monthly Overtime Bonus,125000 Rs
4749,54,Male,Intermediate,IT,8 Hr,30 LPA,Hybrid,Contract / Temporary Employment,Divorced,City,CompTIA Security+,Bachelor's Degree,No Bonus,Medical Allowance,Compensatory Off (No extra pay),89000 Rs
4750,29,Female,Intermediate,IT,7 Hr,19 LPA,Full-Time,Product-based Company,Single,City,PMP (Project Management Professional),Diploma,"₹5,000 - ₹20,000",Travel Allowance,Compensatory Off (No extra pay),95000 Rs
4751,27,Female,Working professional,IT,10 Hr,10 LPA,Hybrid,Large Enterprise,Married,Metro,CompTIA Security+,Master's Degree,No Bonus,None,Compensatory Off (No extra pay),117000 Rs
4752,68,Male,Working professional,IT,5 Hr,8 LPA,Remote,Product-based Company,Married,Rural,Google Cloud Professional Engineer,Master's Degree,"₹20,000 - ₹50,000",Housing Allowance,Compensatory Off (No extra pay),147000 Rs
4753,59,Male,Experienced,IT,3 Hr,26 LPA,Hybrid,Product-based Company,Single,Metro,Certified Data Scientist,High School,"₹20,000 - ₹50,000",Medical Allowance,Fixed Monthly Overtime Bonus,97000 Rs
4754,40,Male,Fresher,IT,8 Hr,28 LPA,Hybrid,Startup (early-stage),Single,City,TensorFlow Developer Certificate,Professional Certification,"₹20,000 - ₹50,000",Internet Allowance,₹100/hour,141000 Rs
4755,35,Female,Experienced,IT,10 Hr,27 LPA,Hybrid,Contract / Temporary Employment,Married,City,CompTIA Security+,Bachelor's Degree,No Bonus,Company Car,Fixed Monthly Overtime Bonus,113000 Rs
4756,56,Male,Working professional,IT,6 Hr,13 LPA,Full-Time,Non-Profit / NGO,Married,City,CompTIA Security+,Master's Degree,No Bonus,Food Allowance,Compensatory Off (No extra pay),35000 Rs
4757,55,Female,Intermediate,Digital marketing,5 Hr,28 LPA,Hybrid,Startup (early-stage),Divorced,City,Google Cloud Professional Engineer,High School,No Bonus,Internet Allowance,₹100/hour,43000 Rs
4758,59,Male,Experienced,Digital marketing,8 Hr,17 LPA,Full-Time,Consultancy Firm,Single,City,Microsoft Azure Fundamentals,Master's Degree,No Bonus,Internet Allowance,Fixed Monthly Overtime Bonus,143000 Rs
4759,60,Female,Experienced,CA,2 Hr,11 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Divorced,Rural,Oracle Certified Java Programmer,Bachelor's Degree,"₹20,000 - ₹50,000",Travel Allowance,Fixed Monthly Overtime Bonus,127000 Rs
4760,45,Male,Experienced,Digital marketing,10 Hr,17 LPA,Remote,Large Enterprise,Divorced,Metro,Oracle Certified Java Programmer,Professional Certification,"₹5,000 - ₹20,000",None,₹300/hour,75000 Rs
4761,54,Male,Working professional,Digital marketing,2 Hr,11 LPA,Hybrid,Government Organization,Divorced,Rural,CFA (Chartered Financial Analyst),Professional Certification,No Bonus,None,₹200/hour,45000 Rs
4762,23,Male,Fresher,CA,4 Hr,21 LPA,Hybrid,Small Business / Local Firm,Divorced,Rural,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",Company Car,₹100/hour,81000 Rs
4763,69,Female,Intermediate,CA,6 Hr,13 LPA,Hybrid,Consultancy Firm,Married,City,CFA (Chartered Financial Analyst),Master's Degree,"₹20,000 - ₹50,000",None,₹100/hour,83000 Rs
4764,65,Male,Fresher,CA,3 Hr,20 LPA,Full-Time,Consultancy Firm,Divorced,City,CompTIA Security+,Diploma,"₹20,000 - ₹50,000",None,₹200/hour,109000 Rs
4765,32,Female,Working professional,IT,5 Hr,24 LPA,Hybrid,Product-based Company,Divorced,Metro,Lean Six Sigma,PhD,"₹5,000 - ₹20,000",Travel Allowance,₹200/hour,83000 Rs
4766,50,Female,Fresher,Digital marketing,5 Hr,11 LPA,Hybrid,Contract / Temporary Employment,Married,Metro,CompTIA Security+,Bachelor's Degree,No Bonus,None,₹300/hour,141000 Rs
4767,46,Male,Working professional,CA,4 Hr,30 LPA,Hybrid,Large Enterprise,Married,City,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Internet Allowance,₹100/hour,55000 Rs
4768,20,Female,Experienced,CA,9 Hr,18 LPA,Remote,Large Enterprise,Single,City,CompTIA Security+,High School,No Bonus,Multiple Allowances,₹100/hour,135000 Rs
4769,68,Female,Working professional,CA,5 Hr,19 LPA,Full-Time,Non-Profit / NGO,Divorced,City,TensorFlow Developer Certificate,Bachelor's Degree,"₹5,000 - ₹20,000",None,Compensatory Off (No extra pay),93000 Rs
4770,55,Male,Working professional,IT,8 Hr,25 LPA,Remote,Small Business / Local Firm,Single,Rural,CompTIA Security+,Diploma,No Bonus,Housing Allowance,Compensatory Off (No extra pay),65000 Rs
4771,30,Female,Experienced,IT,8 Hr,13 LPA,Full-Time,Consultancy Firm,Single,Rural,Microsoft Azure Fundamentals,Professional Certification,No Bonus,None,₹200/hour,135000 Rs
4772,65,Male,Fresher,Digital marketing,5 Hr,24 LPA,Remote,Mid-sized Company,Single,City,CFA (Chartered Financial Analyst),Master's Degree,"₹20,000 - ₹50,000",Company Car,₹300/hour,29000 Rs
4773,68,Female,Intermediate,Digital marketing,9 Hr,16 LPA,Hybrid,Product-based Company,Married,City,TensorFlow Developer Certificate,Diploma,"₹5,000 - ₹20,000",Multiple Allowances,No Overtime,129000 Rs
4774,51,Female,Working professional,IT,5 Hr,20 LPA,Full-Time,Contract / Temporary Employment,Divorced,Metro,PMP (Project Management Professional),Bachelor's Degree,No Bonus,Company Car,₹200/hour,53000 Rs
4775,66,Female,Intermediate,Digital marketing,4 Hr,26 LPA,Remote,Government Organization,Divorced,City,CompTIA Security+,Master's Degree,"₹20,000 - ₹50,000",Travel Allowance,₹200/hour,81000 Rs
4776,20,Male,Intermediate,Finance,6 Hr,11 LPA,Full-Time,Mid-sized Company,Married,Metro,Lean Six Sigma,Master's Degree,No Bonus,Medical Allowance,No Overtime,53000 Rs
4777,47,Female,Working professional,CA,3 Hr,11 LPA,Full-Time,Freelancing / Self-employed,Single,Rural,Certified Data Scientist,High School,No Bonus,None,Compensatory Off (No extra pay),49000 Rs
4778,43,Male,Intermediate,Digital marketing,1 Hr,15 LPA,Remote,Small Business / Local Firm,Married,Rural,Cisco CCNA,Bachelor's Degree,"₹5,000 - ₹20,000",Company Car,₹100/hour,89000 Rs
4779,37,Female,Fresher,CA,8 Hr,16 LPA,Full-Time,Freelancing / Self-employed,Divorced,Rural,Cisco CCNA,High School,No Bonus,Housing Allowance,₹300/hour,51000 Rs
4780,51,Female,Intermediate,CA,3 Hr,28 LPA,Full-Time,Contract / Temporary Employment,Married,Metro,Cisco CCNA,High School,"₹20,000 - ₹50,000",Company Car,₹100/hour,117000 Rs
4781,47,Male,Intermediate,Digital marketing,1 Hr,26 LPA,Remote,Contract / Temporary Employment,Single,City,Lean Six Sigma,Bachelor's Degree,No Bonus,Company Car,Compensatory Off (No extra pay),135000 Rs
4782,34,Female,Experienced,Digital marketing,10 Hr,7 LPA,Hybrid,Outsourcing / Service-based Company,Single,Metro,Google Cloud Professional Engineer,Diploma,"₹20,000 - ₹50,000",Medical Allowance,No Overtime,75000 Rs
4783,35,Male,Fresher,IT,4 Hr,14 LPA,Full-Time,Government Organization,Single,City,Oracle Certified Java Programmer,Bachelor's Degree,No Bonus,Company Car,₹100/hour,25000 Rs
4784,48,Male,Experienced,Digital marketing,5 Hr,10 LPA,Full-Time,Contract / Temporary Employment,Single,Rural,Cisco CCNA,High School,No Bonus,Travel Allowance,₹100/hour,25000 Rs
4785,26,Male,Experienced,CA,4 Hr,19 LPA,Remote,Outsourcing / Service-based Company,Married,Rural,Oracle Certified Java Programmer,High School,No Bonus,Medical Allowance,No Overtime,121000 Rs
4786,66,Female,Intermediate,IT,9 Hr,18 LPA,Full-Time,Big MNC (Multinational Corporation),Divorced,City,Cisco CCNA,High School,No Bonus,Company Car,₹300/hour,131000 Rs
4787,30,Female,Working professional,CA,10 Hr,19 LPA,Hybrid,Product-based Company,Married,Metro,TensorFlow Developer Certificate,Diploma,"₹20,000 - ₹50,000",Medical Allowance,₹300/hour,149000 Rs
4788,39,Male,Experienced,CA,5 Hr,13 LPA,Remote,Big MNC (Multinational Corporation),Married,Rural,TensorFlow Developer Certificate,High School,"₹5,000 - ₹20,000",Medical Allowance,Compensatory Off (No extra pay),69000 Rs
4789,40,Male,Experienced,IT,4 Hr,5 LPA,Full-Time,Consultancy Firm,Married,Metro,Google Cloud Professional Engineer,High School,"₹5,000 - ₹20,000",Multiple Allowances,₹200/hour,101000 Rs
4790,69,Female,Intermediate,IT,10 Hr,22 LPA,Full-Time,Non-Profit / NGO,Single,City,Oracle Certified Java Programmer,PhD,"₹5,000 - ₹20,000",Housing Allowance,₹200/hour,27000 Rs
4791,43,Male,Fresher,IT,5 Hr,23 LPA,Full-Time,Startup (early-stage),Divorced,Rural,Certified Data Scientist,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,No Overtime,119000 Rs
4792,36,Male,Experienced,CA,3 Hr,27 LPA,Hybrid,Scale-up (growing startup),Married,Rural,Lean Six Sigma,PhD,"₹5,000 - ₹20,000",Multiple Allowances,Compensatory Off (No extra pay),117000 Rs
4793,21,Female,Experienced,IT,4 Hr,10 LPA,Remote,Startup (early-stage),Married,City,PMP (Project Management Professional),Bachelor's Degree,No Bonus,Travel Allowance,Fixed Monthly Overtime Bonus,45000 Rs
4794,39,Male,Intermediate,Digital marketing,3 Hr,19 LPA,Hybrid,Remote-first / Distributed CompanyResearch & Development (R&D) Institution,Single,Metro,Cisco CCNA,Professional Certification,"₹20,000 - ₹50,000",Multiple Allowances,₹200/hour,63000 Rs
4795,57,Male,Fresher,Digital marketing,7 Hr,19 LPA,Remote,Product-based Company,Married,Metro,Certified Data Scientist,Diploma,"₹20,000 - ₹50,000",Multiple Allowances,Fixed Monthly Overtime Bonus,129000 Rs
4796,44,Female,Fresher,Digital marketing,8 Hr,26 LPA,Hybrid,Small Business / Local Firm,Divorced,City,Certified Data Scientist,High School,"₹5,000 - ₹20,000",Travel Allowance,Fixed Monthly Overtime Bonus,27000 Rs
